scenario,model,noise_ratio,mae_m,rmse_m,p90_m,mae_degrade_pct,rmse_degrade_pct,p90_degrade_pct
complex_dynamic,WKNN,0.1,2.520572620396939,2.929152762279154,4.572515204112759,1.9571518284576197,1.3146922310601004,1.4323459762083015
complex_dynamic,WKNN,0.2,2.560859522584674,2.9598115758939603,4.645894047055295,3.58675685146475,2.37513138109494,3.060112719987867
ideal_empty,CNN,0.0,2.3636575213155844,2.7402307961472454,4.350731145516179,0.0,0.0,0.0
ideal_empty,CNN,0.02,2.368156554062582,2.748760928405735,4.331644472209707,0.19034198932904117,0.3112924747244924,-0.43870036249293526
ideal_empty,CNN,0.05,2.3691214969266228,2.7470671693008,4.325106027134829,0.23116612968520123,0.24948165545641193,-0.5889841850549381
ideal_empty,CNN,0.1,2.398171594567819,2.76173741312533,4.34798834542461,1.460197720735131,0.7848469190377275,-0.06304227955791217
ideal_empty,CNN,0.2,2.4379623753751574,2.7814690052394972,4.322092696220653,3.1436387627855567,1.5049173649983285,-0.6582445188561137
ideal_empty,KNN,0.0,2.5393756538275993,3.0003542777972805,4.859114350305629,0.0,0.0,0.0
ideal_empty,KNN,0.02,2.5466614262629075,3.007241831230809,4.826903759493528,0.2869119590213565,0.2295580053494605,-0.662890158369594
ideal_empty,KNN,0.05,2.5493747920426637,3.0000102327853666,4.870164118610955,0.39376364816259773,-0.011466812918054983,0.2274029279560149
ideal_empty,KNN,0.1,2.5735569444963957,3.0265425705532767,4.867939287206934,1.34605097191016,0.8728400159204676,0.18161616017020946
ideal_empty,KNN,0.2,2.6299183722631403,3.0647230133190386,4.864202564299068,3.565550386334766,2.145371164935051,0.10471484362409972
ideal_empty,LightGBM,0.0,2.4030645434255202,2.808044595372783,4.420932050603682,0.0,0.0,0.0
ideal_empty,LightGBM,0.02,2.4111480575934645,2.8112294982716426,4.452653091973987,0.3363835644806026,0.11342066661291542,0.7175193150949691
ideal_empty,LightGBM,0.05,2.4227516749439246,2.815035026373185,4.444101839404377,0.8192510505914581,0.24894301934952245,0.5240928504551737
ideal_empty,LightGBM,0.1,2.427620123043871,2.8201389560614123,4.476093295096079,1.0218443647521631,0.43070401049039847,1.2477288467906829
ideal_empty,LightGBM,0.2,2.464283912328189,2.8407366031786525,4.447622023594879,2.547554083395604,1.1642268025137839,0.6037182360120779
ideal_empty,RandomForest,0.0,2.4505395916441595,2.871934156158101,4.558796014595305,0.0,0.0,0.0
ideal_empty,RandomForest,0.02,2.4534311409156486,2.8739271143835428,4.566715245442409,0.11799643153486487,0.06939428681428103,0.17371320896461168
ideal_empty,RandomForest,0.05,2.4633086935750574,2.876744525146899,4.592637074233483,0.5210730720057741,0.16749579646466334,0.7423244981752661
ideal_empty,RandomForest,0.1,2.483242427239176,2.89445229690835,4.58322409453984,1.3345157004003014,0.7840758013885822,0.5358449877188531
ideal_empty,RandomForest,0.2,2.528906822196871,2.923891197233505,4.577409292247014,3.197958148479949,1.8091306502969673,0.40829371597496633
ideal_empty,WKNN,0.0,2.5703150289055405,3.0352291192992644,4.82474866239926,0.0,0.0,0.0
ideal_empty,WKNN,0.02,2.5770774547464272,3.040306801300377,4.814832190108399,0.26309715987484233,0.16729155531707415,-0.20553344815955324
ideal_empty,WKNN,0.05,2.579384258847756,3.035054404100525,4.837392443148907,0.35284507308339585,-0.005756244153969348,0.2620609203580642
ideal_empty,WKNN,0.1,2.609966167128956,3.069930087302297,4.845316451362211,1.5426567474220947,1.1432734281043047,0.4262976250605925
ideal_empty,WKNN,0.2,2.6670349577209307,3.104782595757046,4.887984805759387,3.762960093517184,2.291539574904951,1.3106619180589625
