scenario,noise_ratio,model,mae_m,rmse_m,median_m,p90_m,r2_x,r2_y,train_time_s,infer_ms_per_sample,n_train,n_test
ideal_empty,0.1,CNN,2.398171594567819,2.76173741312533,2.1484528445540922,4.34798834542461,0.5211599644068727,0.6475422246749507,0.6379746249876916,0.00019909995689766543,9569,4102
ideal_empty,0.2,KNN,2.6299183722631403,3.0647230133190386,2.344387410775327,4.864202564299068,0.4107934040735294,0.5655068014089926,0.0022454580175690353,0.0028477267131503618,9569,4102
ideal_empty,0.2,WKNN,2.6670349577209307,3.104782595757046,2.390406092468927,4.887984805759387,0.39283263062903684,0.5565092525488786,0.0037149580020923167,0.003552017309171657,9569,4102
ideal_empty,0.2,RandomForest,2.528906822196871,2.923891197233505,2.2557466479209394,4.577409292247014,0.4546193204415828,0.6135230851256395,0.9192980419902597,0.009161983909533118,9569,4102
ideal_empty,0.2,LightGBM,2.464283912328189,2.8407366031786525,2.223239126899365,4.447622023594879,0.4877796879972027,0.6326350650686762,3.0690591250022408,0.008394543393646734,9569,4102
ideal_empty,0.2,CNN,2.4379623753751574,2.7814690052394972,2.2192059358963068,4.322092696220653,0.5134817319294339,0.6432923024481777,0.6499074159946758,0.0007391211549855445,9569,4102
complex_dynamic,0.0,KNN,2.4422933435170253,2.8492366842860606,2.147091055358389,4.459820624195552,0.5524640329083024,0.563270972853172,0.002259000000776723,0.00282898586132595,9569,4102
complex_dynamic,0.0,WKNN,2.472188144915807,2.89114312818409,2.1914356262265295,4.5079458235002035,0.5370301434537285,0.5524831366004423,0.0019261250272393227,0.0015435560733790094,9569,4102
complex_dynamic,0.0,RandomForest,2.373834877528422,2.755001890931617,2.118136928620259,4.3220307379590155,0.5857457680703755,0.5875502070316873,1.0985823330120184,0.00934802144721581,9569,4102
complex_dynamic,0.0,LightGBM,2.3226430950901342,2.6890131089808396,2.064419296181639,4.246814337172396,0.6029498842416119,0.6094538204922839,3.208304500003578,0.006883542657841627,9569,4102
complex_dynamic,0.0,CNN,2.262476113039221,2.613761413548812,2.011750659370274,4.074005758185756,0.6258446014012153,0.6300324492052347,0.6362752080021892,0.00017243637123269128,9569,4102
complex_dynamic,0.02,KNN,2.446163015419237,2.850006537947788,2.1931712199461306,4.455333881989094,0.5522323650750067,0.5630248147906314,0.0023878329957369715,0.0028592659633194365,9569,4102
complex_dynamic,0.02,WKNN,2.476777607475408,2.8931593628254966,2.19755478502403,4.498670901408726,0.5363361572794653,0.5519063441026124,0.0019125000108033419,0.0013724300343550557,9569,4102
complex_dynamic,0.02,RandomForest,2.3729013767658125,2.7502196111983648,2.1190033014838736,4.3292694594716865,0.5870335245039255,0.5891287305905528,0.8394963750033639,0.009796633594283432,9569,4102
complex_dynamic,0.02,LightGBM,2.332340567559705,2.6932101488742686,2.09537149714434,4.173705209128091,0.5991496942354567,0.6107711511118534,3.1919681670260616,0.00684576646060656,9569,4102
complex_dynamic,0.02,CNN,2.2695566628382187,2.6142644365315184,2.0374372990732637,4.042014328486352,0.6238681054223101,0.631706492704503,0.6400401669961866,0.00023280302268556928,9569,4102
complex_dynamic,0.05,KNN,2.472498386149878,2.8755831339277873,2.2072995149749493,4.500999876573684,0.5463594363814068,0.5529659485615237,0.002375083015067503,0.0014417866901742038,9569,4102
complex_dynamic,0.05,WKNN,2.4988059338464224,2.9140859001102077,2.226008224482229,4.529003155490393,0.5318144345289493,0.5432099904077843,0.0029811249987687916,0.001586725986594455,9569,4102
complex_dynamic,0.05,RandomForest,2.3912082527466514,2.7640792364547098,2.1427659298132875,4.316015044784044,0.5871601241166012,0.5807153730768868,0.8207439580000937,0.009209531934242577,9569,4102
complex_dynamic,0.05,LightGBM,2.338980752919166,2.6932326045361443,2.106923915163107,4.180703651793695,0.6031308834359336,0.6068116267830861,3.200745084002847,0.007204452950937872,9569,4102
complex_dynamic,0.05,CNN,2.2840993847548035,2.6238903718786233,2.0308137093019867,4.110835196619682,0.6217518991877465,0.6283362913896204,0.6407156670175027,0.00023246781779285149,9569,4102
complex_dynamic,0.1,KNN,2.4853881915867073,2.8843794278083936,2.220360331117452,4.500999876573684,0.5466477903397186,0.5471857145233188,0.0024540830054320395,0.005091997804569724,9569,4102
complex_dynamic,0.1,WKNN,2.520572620396939,2.929152762279154,2.255619022356102,4.572515204112759,0.5310274983319977,0.5344428241398609,0.0018039589922409505,0.004206027547322098,9569,4102
complex_dynamic,0.1,RandomForest,2.397402890190014,2.7625229343985613,2.162062330257134,4.279877766791544,0.5869502567709715,0.5818561304176971,0.9293785839981865,0.009074232079052816,9569,4102
complex_dynamic,0.1,LightGBM,2.3519760417374402,2.695378119119074,2.1150774690788667,4.170339775983859,0.5977896331913053,0.6108524684513821,3.2617286250169855,0.0076036586993574184,9569,4102
